1176,1543,2000
1165,1523,2000
1154,1503,2000
1143,1484,2000
1131,1466,2000
1118,1448,2000
1127,1424,2000
1135,1401,2000
1141,1379,2000
1146,1358,2000
1150,1338,2000
1158,1324,2000
1165,1311,2000
1171,1299,2000
1177,1286,2000
1183,1274,2000
1194,1259,2000
1204,1245,2000
1214,1232,2000
1222,1218,2000
1231,1205,2000
1243,1204,2000
1255,1204,2000
1267,1204,2000
1279,1204,2000
1291,1204,2000
1305,1209,2000
1318,1214,2000
1332,1219,2000
1345,1225,2000
1359,1231,2000
1376,1247,2000
1394,1263,2000
1412,1279,2000
1430,1295,2000
1447,1312,2000
1456,1325,2000
1464,1339,2000
1472,1352,2000
1480,1366,2000
1488,1379,2000
1487,1395,2000
1485,1411,2000
1483,1426,2000
1480,1443,2000
1477,1459,2000
1465,1470,2000
1454,1481,2000
1442,1493,2000
1429,1506,2000
1416,1519,2000
1394,1526,2000
1372,1535,2000
1348,1545,2000
1324,1556,2000
1298,1569,2000
1282,1570,2000
1265,1571,2000
1248,1573,2000
1230,1576,2000
1211,1579,2000
1201,1564,2000
1190,1549,2000
1179,1535,2000
1168,1521,2000
